id,field,selected,scheduled,sbid,observed,processed,quality,casda
126,RACS_test4_1.05_1523-50A,1,1,8673,1,,,
127,RACS_test4_1.05_1600-50A,1,1,8646,1,,,
128,RACS_test4_1.05_1636-50A,1,1,8646,1,,,
129,RACS_test4_1.05_1713-50A,1,1,8598,1,,,
13,RACS_test4_1.05_1459-85A,1,1,9510,1,,,
130,RACS_test4_1.05_1750-50A,1,1,8646,1,,,
131,RACS_test4_1.05_1827-50A,1,1,8674,1,,,
132,RACS_test4_1.05_1904-50A,1,1,8646,1,,,
133,RACS_test4_1.05_1941-50A,1,1,8674,1,,,
134,RACS_test4_1.05_2018-50A,1,1,8646,1,,,
135,RACS_test4_1.05_2055-50A,1,1,8674,1,,,
136,RACS_test4_1.05_2132-50A,1,1,8646,1,,,
137,RACS_test4_1.05_2209-50A,1,1,8676,1,,,
138,RACS_test4_1.05_2246-50A,1,1,8676,1,,,
139,RACS_test4_1.05_2323-50A,1,1,8680,1,,,
14,RACS_test4_1.05_0900-85A,1,1,9510,1,,,
140,RACS_test4_1.05_0000-50A,1,1,8676,1,,,
141,RACS_test4_1.05_0036-50A,1,1,8676,1,,,
142,RACS_test4_1.05_0113-50A,1,1,8676,1,,,
143,RACS_test4_1.05_0150-50A,1,1,8676,1,,,
144,RACS_test4_1.05_0227-50A,1,1,8676,1,,,
145,RACS_test4_1.05_0304-50A,1,1,8673,1,,,
146,RACS_test4_1.05_0341-50A,1,1,8641,1,,,
147,RACS_test4_1.05_0418-50A,1,1,8641,1,,,
148,RACS_test4_1.05_0455-50A,1,1,8641,1,,,
149,RACS_test4_1.05_0532-50A,1,1,8641,1,,,
15,RACS_test4_1.05_0714-80A,1,1,9510,1,,,
150,RACS_test4_1.05_0609-50A,1,1,8641,1,,,
151,RACS_test4_1.05_0646-50A,1,1,8641,1,,,
152,RACS_test4_1.05_0723-50A,1,1,8641,1,,,
153,RACS_test4_1.05_0800-50A,1,1,8641,1,,,
154,RACS_test4_1.05_0836-50A,1,1,8641,1,,,
155,RACS_test4_1.05_0913-50A,1,1,8641,1,,,
156,RACS_test4_1.05_0950-50A,1,1,8641,1,,,
157,RACS_test4_1.05_1027-50A,1,1,8641,1,,,
158,RACS_test4_1.05_1104-50A,1,1,8641,1,,,
159,RACS_test4_1.05_1141-50A,1,1,8641,1,,,
16,RACS_test4_1.05_0645-73A,1,1,9510,1,,,
160,RACS_test4_1.05_1216-43A,1,1,8673,1,,,
161,RACS_test4_1.05_1250-43A,1,1,8598,1,,,
162,RACS_test4_1.05_1323-43A,1,1,8673,1,,,
163,RACS_test4_1.05_1357-43A,1,1,8598,1,,,
164,RACS_test4_1.05_1430-43A,1,1,8598,1,,,
165,RACS_test4_1.05_1504-43A,1,1,8598,1,,,
166,RACS_test4_1.05_1537-43A,1,1,8598,1,,,
167,RACS_test4_1.05_1611-43A,1,1,8646,1,,,
168,RACS_test4_1.05_1644-43A,1,1,8593,1,,,
169,RACS_test4_1.05_1718-43A,1,1,8593,1,,,
17,RACS_test4_1.05_1845-73A,1,1,9515,1,,,
170,RACS_test4_1.05_1751-43A,1,1,8593,1,,,
171,RACS_test4_1.05_1825-43A,1,1,8598,1,,,
172,RACS_test4_1.05_1858-43A,1,1,8600,1,,,
173,RACS_test4_1.05_1932-43A,1,1,8600,1,,,
174,RACS_test4_1.05_2005-43A,1,1,8600,1,,,
175,RACS_test4_1.05_2039-43A,1,1,8600,1,,,
176,RACS_test4_1.05_2112-43A,1,1,8646,1,,,
177,RACS_test4_1.05_2146-43A,1,1,8600,1,,,
178,RACS_test4_1.05_2219-43A,1,1,8600,1,,,
179,RACS_test4_1.05_2253-43A,1,1,8600,1,,,
18,RACS_test4_1.05_1914-80A,1,1,9515,1,,,
180,RACS_test4_1.05_2326-43A,1,1,8600,1,,,
181,RACS_test4_1.05_2359-43A,1,1,8600,1,,,
182,RACS_test4_1.05_0033-43A,1,1,8600,1,,,
183,RACS_test4_1.05_0106-43A,1,1,8600,1,,,
184,RACS_test4_1.05_0140-43A,1,1,8595,1,,,
185,RACS_test4_1.05_0213-43A,1,1,8595,1,,,
186,RACS_test4_1.05_0247-43A,1,1,8595,1,,,
187,RACS_test4_1.05_0320-43A,1,1,8641,1,,,
188,RACS_test4_1.05_0354-43A,1,1,8641,1,,,
189,RACS_test4_1.05_0427-43A,1,1,8641,1,,,
19,RACS_test4_1.05_2100-85A,1,1,9515,1,,,
190,RACS_test4_1.05_0501-43A,1,1,8641,1,,,
191,RACS_test4_1.05_0534-43A,1,1,8641,1,,,
192,RACS_test4_1.05_0608-43A,1,1,8641,1,,,
193,RACS_test4_1.05_0641-43A,1,1,8641,1,,,
194,RACS_test4_1.05_0715-43A,1,1,8641,1,,,
195,RACS_test4_1.05_0748-43A,1,1,8641,1,,,
196,RACS_test4_1.05_0822-43A,1,1,8641,1,,,
197,RACS_test4_1.05_0855-43A,1,1,8641,1,,,
198,RACS_test4_1.05_0929-43A,1,1,8641,1,,,
199,RACS_test4_1.05_1002-43A,1,1,8641,1,,,
2,RACS_test4_1.05_1200-74A,1,1,9510,1,,,
20,RACS_test4_1.05_0259-85A,1,1,9515,1,,,
200,RACS_test4_1.05_1036-43A,1,1,8641,1,,,
201,RACS_test4_1.05_1109-43A,1,1,8641,1,,,
202,RACS_test4_1.05_1143-43A,1,1,8598,1,,,
203,RACS_test4_1.05_1215-37A,1,1,8597,1,,,
204,RACS_test4_1.05_1245-37A,1,1,8597,1,,,
205,RACS_test4_1.05_1316-37A,1,1,8593,1,,,
206,RACS_test4_1.05_1347-37A,1,1,8593,1,,,
207,RACS_test4_1.05_1417-37A,1,1,8593,1,,,
208,RACS_test4_1.05_1448-37A,1,1,8593,1,,,
209,RACS_test4_1.05_1519-37A,1,1,8593,1,,,
21,RACS_test4_1.05_0445-80A,1,1,9510,1,,,
210,RACS_test4_1.05_1549-37A,1,1,8593,1,,,
211,RACS_test4_1.05_1620-37A,1,1,8593,1,,,
212,RACS_test4_1.05_1651-37A,1,1,8593,1,,,
213,RACS_test4_1.05_1721-37A,1,1,8593,1,,,
214,RACS_test4_1.05_1752-37A,1,1,8593,1,,,
215,RACS_test4_1.05_1822-37A,1,1,8593,1,,,
216,RACS_test4_1.05_1853-37A,1,1,8593,1,,,
217,RACS_test4_1.05_1924-37A,1,1,8598,1,,,
218,RACS_test4_1.05_1954-37A,1,1,8598,1,,,
219,RACS_test4_1.05_2025-37A,1,1,8598,1,,,
22,RACS_test4_1.05_0514-73A,1,1,9510,1,,,
220,RACS_test4_1.05_2056-37A,1,1,8598,1,,,
221,RACS_test4_1.05_2126-37A,1,1,8595,1,,,
222,RACS_test4_1.05_2157-37A,1,1,8595,1,,,
223,RACS_test4_1.05_2228-37A,1,1,8595,1,,,
224,RACS_test4_1.05_2258-37A,1,1,8595,1,,,
225,RACS_test4_1.05_2329-37A,1,1,8595,1,,,
226,RACS_test4_1.05_0000-37A,1,1,8595,1,,,
227,RACS_test4_1.05_0030-37A,1,1,8595,1,,,
228,RACS_test4_1.05_0101-37A,1,1,8595,1,,,
229,RACS_test4_1.05_0131-37A,1,1,8587,1,,,
23,RACS_test4_1.05_2005-71A,1,1,9515,1,,,
230,RACS_test4_1.05_0202-37A,1,1,8587,1,,,
231,RACS_test4_1.05_0233-37A,1,1,8587,1,,,
232,RACS_test4_1.05_0303-37A,1,1,8587,1,,,
233,RACS_test4_1.05_0334-37A,1,1,8587,1,,,
234,RACS_test4_1.05_0405-37A,1,1,8595,1,,,
235,RACS_test4_1.05_0435-37A,1,1,8587,1,,,
236,RACS_test4_1.05_0506-37A,1,1,8595,1,,,
237,RACS_test4_1.05_0537-37A,1,1,8587,1,,,
238,RACS_test4_1.05_0607-37A,1,1,8641,1,,,
239,RACS_test4_1.05_0638-37A,1,1,8641,1,,,
24,RACS_test4_1.05_2100-76A,1,1,9515,1,,,
240,RACS_test4_1.05_0708-37A,1,1,8641,1,,,
241,RACS_test4_1.05_0739-37A,1,1,8641,1,,,
242,RACS_test4_1.05_0810-37A,1,1,8598,1,,,
243,RACS_test4_1.05_0840-37A,1,1,8598,1,,,
244,RACS_test4_1.05_0911-37A,1,1,8598,1,,,
245,RACS_test4_1.05_0942-37A,1,1,8598,1,,,
246,RACS_test4_1.05_1012-37A,1,1,8598,1,,,
247,RACS_test4_1.05_1043-37A,1,1,8598,1,,,
248,RACS_test4_1.05_1114-37A,1,1,8597,1,,,
249,RACS_test4_1.05_1144-37A,1,1,8597,1,,,
25,RACS_test4_1.05_2246-80A,1,1,9515,1,,,
250,RACS_test4_1.05_1214-31A,1,1,8593,1,,,
251,RACS_test4_1.05_1242-31A,1,1,8593,1,,,
252,RACS_test4_1.05_1310-31A,1,1,8593,1,,,
253,RACS_test4_1.05_1338-31A,1,1,8593,1,,,
254,RACS_test4_1.05_1407-31A,1,1,8593,1,,,
255,RACS_test4_1.05_1435-31A,1,1,8593,1,,,
256,RACS_test4_1.05_1503-31A,1,1,8593,1,,,
257,RACS_test4_1.05_1531-31A,1,1,8591,1,,,
258,RACS_test4_1.05_1600-31A,1,1,8591,1,,,
259,RACS_test4_1.05_1628-31A,1,1,8591,1,,,
26,RACS_test4_1.05_0113-80A,1,1,9515,1,,,
260,RACS_test4_1.05_1656-31A,1,1,8591,1,,,
261,RACS_test4_1.05_1724-31A,1,1,8591,1,,,
262,RACS_test4_1.05_1752-31A,1,1,8591,1,,,
263,RACS_test4_1.05_1821-31A,1,1,8591,1,,,
264,RACS_test4_1.05_1849-31A,1,1,8591,1,,,
265,RACS_test4_1.05_1917-31A,1,1,8591,1,,,
266,RACS_test4_1.05_1945-31A,1,1,8595,1,,,
267,RACS_test4_1.05_2014-31A,1,1,8595,1,,,
268,RACS_test4_1.05_2042-31A,1,1,8595,1,,,
269,RACS_test4_1.05_2110-31A,1,1,8595,1,,,
27,RACS_test4_1.05_0259-76A,1,1,9510,1,,,
270,RACS_test4_1.05_2138-31A,1,1,8595,1,,,
271,RACS_test4_1.05_2207-31A,1,1,8595,1,,,
272,RACS_test4_1.05_2235-31A,1,1,8595,1,,,
273,RACS_test4_1.05_2303-31A,1,1,8587,1,,,
274,RACS_test4_1.05_2331-31A,1,1,8587,1,,,
275,RACS_test4_1.05_0000-31A,1,1,8587,1,,,
276,RACS_test4_1.05_0028-31A,1,1,8587,1,,,
277,RACS_test4_1.05_0056-31A,1,1,8587,1,,,
278,RACS_test4_1.05_0124-31A,1,1,8587,1,,,
279,RACS_test4_1.05_0152-31A,1,1,8587,1,,,
28,RACS_test4_1.05_0354-71A,1,1,8680,1,,,
280,RACS_test4_1.05_0221-31A,1,1,8587,1,,,
281,RACS_test4_1.05_0249-31A,1,1,8587,1,,,
282,RACS_test4_1.05_0317-31A,1,1,8587,1,,,
283,RACS_test4_1.05_0345-31A,1,1,8583,1,,,
284,RACS_test4_1.05_0414-31A,1,1,8583,1,,,
285,RACS_test4_1.05_0442-31A,1,1,8583,1,,,
286,RACS_test4_1.05_0510-31A,1,1,8583,1,,,
287,RACS_test4_1.05_0538-31A,1,1,8583,1,,,
288,RACS_test4_1.05_0607-31A,1,1,8583,1,,,
289,RACS_test4_1.05_0635-31A,1,1,8592,1,,,
29,RACS_test4_1.05_2126-69A,1,1,8680,1,,,
290,RACS_test4_1.05_0703-31A,1,1,8583,1,,,
291,RACS_test4_1.05_0731-31A,1,1,8583,1,,,
292,RACS_test4_1.05_0800-31A,1,1,8593,1,,,
293,RACS_test4_1.05_0828-31A,1,1,8583,1,,,
294,RACS_test4_1.05_0856-31A,1,1,8593,1,,,
295,RACS_test4_1.05_0924-31A,1,1,8583,1,,,
296,RACS_test4_1.05_0952-31A,1,1,8583,1,,,
297,RACS_test4_1.05_1021-31A,1,1,8593,1,,,
298,RACS_test4_1.05_1049-31A,1,1,8583,1,,,
299,RACS_test4_1.05_1117-31A,1,1,8593,1,,,
3,RACS_test4_1.05_1032-73A,1,1,9510,1,,,
30,RACS_test4_1.05_2232-73A,1,1,8680,1,,,
300,RACS_test4_1.05_1145-31A,1,1,8593,1,,,
301,RACS_test4_1.05_1213-25A,1,1,8576,1,,,
302,RACS_test4_1.05_1240-25A,1,1,8576,1,,,
303,RACS_test4_1.05_1307-25A,1,1,8584,1,,,
304,RACS_test4_1.05_1335-25A,1,1,8576,1,,,
305,RACS_test4_1.05_1402-25A,1,1,8584,1,,,
306,RACS_test4_1.05_1429-25A,1,1,8576,1,,,
307,RACS_test4_1.05_1456-25A,1,1,8576,1,,,
308,RACS_test4_1.05_1523-25A,1,1,8584,1,,,
309,RACS_test4_1.05_1550-25A,1,1,8576,1,,,
31,RACS_test4_1.05_0000-74A,1,1,9515,1,,,
310,RACS_test4_1.05_1618-25A,1,1,8576,1,,,
311,RACS_test4_1.05_1645-25A,1,1,8584,1,,,
312,RACS_test4_1.05_1712-25A,1,1,8576,1,,,
313,RACS_test4_1.05_1739-25A,1,1,8576,1,,,
314,RACS_test4_1.05_1806-25A,1,1,8576,1,,,
315,RACS_test4_1.05_1833-25A,1,1,8584,1,,,
316,RACS_test4_1.05_1901-25A,1,1,8576,1,,,
317,RACS_test4_1.05_1928-25A,1,1,8576,1,,,
318,RACS_test4_1.05_1955-25A,1,1,8576,1,,,
319,RACS_test4_1.05_2022-25A,1,1,8576,1,,,
32,RACS_test4_1.05_0127-73A,1,1,8680,1,,,
320,RACS_test4_1.05_2049-25A,1,1,8576,1,,,
321,RACS_test4_1.05_2116-25A,1,1,8576,1,,,
322,RACS_test4_1.05_2144-25A,1,1,8576,1,,,
323,RACS_test4_1.05_2211-25A,1,1,8576,1,,,
324,RACS_test4_1.05_2238-25A,1,1,8586,1,,,
325,RACS_test4_1.05_2305-25A,1,1,8586,1,,,
326,RACS_test4_1.05_2332-25A,1,1,8582,1,,,
327,RACS_test4_1.05_2359-25A,1,1,8582,1,,,
328,RACS_test4_1.05_0027-25A,1,1,8586,1,,,
329,RACS_test4_1.05_0054-25A,1,1,8582,1,,,
33,RACS_test4_1.05_0233-69A,1,1,8680,1,,,
330,RACS_test4_1.05_0121-25A,1,1,8582,1,,,
331,RACS_test4_1.05_0148-25A,1,1,8582,1,,,
332,RACS_test4_1.05_0215-25A,1,1,8582,1,,,
333,RACS_test4_1.05_0243-25A,1,1,8582,1,,,
334,RACS_test4_1.05_0310-25A,1,1,8579,1,,,
335,RACS_test4_1.05_0337-25A,1,1,8579,1,,,
336,RACS_test4_1.05_0404-25A,1,1,8579,1,,,
337,RACS_test4_1.05_0431-25A,1,1,8579,1,,,
338,RACS_test4_1.05_0458-25A,1,1,8579,1,,,
339,RACS_test4_1.05_0526-25A,1,1,8579,1,,,
34,RACS_test4_1.05_1230-68A,1,1,8678,1,,,
340,RACS_test4_1.05_0553-25A,1,1,8579,1,,,
341,RACS_test4_1.05_0620-25A,1,1,8579,1,,,
342,RACS_test4_1.05_0647-25A,1,1,8579,1,,,
343,RACS_test4_1.05_0714-25A,1,1,8579,1,,,
344,RACS_test4_1.05_0741-25A,1,1,8579,1,,,
345,RACS_test4_1.05_0809-25A,1,1,8576,1,,,
346,RACS_test4_1.05_0836-25A,1,1,8576,1,,,
347,RACS_test4_1.05_0903-25A,1,1,8576,1,,,
348,RACS_test4_1.05_0930-25A,1,1,8576,1,,,
349,RACS_test4_1.05_0957-25A,1,1,8576,1,,,
35,RACS_test4_1.05_1330-68A,1,1,8678,1,,,
350,RACS_test4_1.05_1024-25A,1,1,8576,1,,,
351,RACS_test4_1.05_1052-25A,1,1,8576,1,,,
352,RACS_test4_1.05_1119-25A,1,1,8576,1,,,
353,RACS_test4_1.05_1146-25A,1,1,8576,1,,,
354,RACS_test4_1.05_1213-18A,1,1,8584,1,,,
355,RACS_test4_1.05_1239-18A,1,1,8576,1,,,
356,RACS_test4_1.05_1305-18A,1,1,8584,1,,,
357,RACS_test4_1.05_1331-18A,1,1,8584,1,,,
358,RACS_test4_1.05_1357-18A,1,1,8584,1,,,
359,RACS_test4_1.05_1424-18A,1,1,8584,1,,,
36,RACS_test4_1.05_1430-68A,1,1,8678,1,,,
360,RACS_test4_1.05_1450-18A,1,1,8584,1,,,
361,RACS_test4_1.05_1516-18A,1,1,8593,1,,,
362,RACS_test4_1.05_1542-18A,1,1,8589,1,,,
363,RACS_test4_1.05_1608-18A,1,1,8584,1,,,
364,RACS_test4_1.05_1634-18A,1,1,8589,1,,,
365,RACS_test4_1.05_1701-18A,1,1,8584,1,,,
366,RACS_test4_1.05_1727-18A,1,1,8584,1,,,
367,RACS_test4_1.05_1753-18A,1,1,8584,1,,,
368,RACS_test4_1.05_1819-18A,1,1,8584,1,,,
369,RACS_test4_1.05_1845-18A,1,1,8584,1,,,
37,RACS_test4_1.05_1530-68A,1,1,8678,1,,,
370,RACS_test4_1.05_1912-18A,1,1,8584,1,,,
371,RACS_test4_1.05_1938-18A,1,1,8576,1,,,
372,RACS_test4_1.05_2004-18A,1,1,8589,1,,,
373,RACS_test4_1.05_2030-18A,1,1,8576,1,,,
374,RACS_test4_1.05_2056-18A,1,1,8586,1,,,
375,RACS_test4_1.05_2122-18A,1,1,8591,1,,,
376,RACS_test4_1.05_2149-18A,1,1,8586,1,,,
377,RACS_test4_1.05_2215-18A,1,1,8586,1,,,
378,RACS_test4_1.05_2241-18A,1,1,8586,1,,,
379,RACS_test4_1.05_2307-18A,1,1,8586,1,,,
38,RACS_test4_1.05_1630-68A,1,1,8678,1,,,
380,RACS_test4_1.05_2333-18A,1,1,8586,1,,,
381,RACS_test4_1.05_0000-18A,1,1,8586,1,,,
382,RACS_test4_1.05_0026-18A,1,1,8586,1,,,
383,RACS_test4_1.05_0052-18A,1,1,8586,1,,,
384,RACS_test4_1.05_0118-18A,1,1,8586,1,,,
385,RACS_test4_1.05_0144-18A,1,1,8583,1,,,
386,RACS_test4_1.05_0210-18A,1,1,8583,1,,,
387,RACS_test4_1.05_0237-18A,1,1,8583,1,,,
388,RACS_test4_1.05_0303-18A,1,1,8583,1,,,
389,RACS_test4_1.05_0329-18A,1,1,8582,1,,,
39,RACS_test4_1.05_1730-68A,1,1,8678,1,,,
390,RACS_test4_1.05_0355-18A,1,1,8583,1,,,
391,RACS_test4_1.05_0421-18A,1,1,8579,1,,,
392,RACS_test4_1.05_0448-18A,1,1,8583,1,,,
393,RACS_test4_1.05_0514-18A,1,1,8579,1,,,
394,RACS_test4_1.05_0540-18A,1,1,8579,1,,,
395,RACS_test4_1.05_0606-18A,1,1,8579,1,,,
396,RACS_test4_1.05_0632-18A,1,1,8579,1,,,
397,RACS_test4_1.05_0658-18A,1,1,8579,1,,,
398,RACS_test4_1.05_0725-18A,1,1,8579,1,,,
399,RACS_test4_1.05_0751-18A,1,1,8579,1,,,
4,RACS_test4_1.05_0926-69A,1,1,9510,1,,,
40,RACS_test4_1.05_1830-68A,1,1,8676,1,,,
400,RACS_test4_1.05_0817-18A,1,1,8579,1,,,
401,RACS_test4_1.05_0843-18A,1,1,8579,1,,,
402,RACS_test4_1.05_0909-18A,1,1,8576,1,,,
403,RACS_test4_1.05_0936-18A,1,1,8576,1,,,
404,RACS_test4_1.05_1002-18A,1,1,8580,1,,,
405,RACS_test4_1.05_1028-18A,1,1,8576,1,,,
406,RACS_test4_1.05_1054-18A,1,1,8580,1,,,
407,RACS_test4_1.05_1120-18A,1,1,8576,1,,,
408,RACS_test4_1.05_1146-18A,1,1,8576,1,,,
409,RACS_test4_1.05_1212-12A,1,1,8597,1,,,
41,RACS_test4_1.05_1930-68A,1,1,8676,1,,,
410,RACS_test4_1.05_1237-12A,1,1,8597,1,,,
411,RACS_test4_1.05_1303-12A,1,1,8597,1,,,
412,RACS_test4_1.05_1328-12A,1,1,8597,1,,,
413,RACS_test4_1.05_1353-12A,1,1,8593,1,,,
414,RACS_test4_1.05_1418-12A,1,1,8674,1,,,
415,RACS_test4_1.05_1444-12A,1,1,8646,1,,,
416,RACS_test4_1.05_1509-12A,1,1,8646,1,,,
417,RACS_test4_1.05_1534-12A,1,1,8646,1,,,
418,RACS_test4_1.05_1600-12A,1,1,8591,1,,,
419,RACS_test4_1.05_1625-12A,1,1,8646,1,,,
42,RACS_test4_1.05_2030-68A,1,1,8680,1,,,
420,RACS_test4_1.05_1650-12A,1,1,8646,1,,,
421,RACS_test4_1.05_1715-12A,1,1,8646,1,,,
422,RACS_test4_1.05_1741-12A,1,1,8600,1,,,
423,RACS_test4_1.05_1806-12A,1,1,8591,1,,,
424,RACS_test4_1.05_1831-12A,1,1,8595,1,,,
425,RACS_test4_1.05_1856-12A,1,1,8600,1,,,
426,RACS_test4_1.05_1922-12A,1,1,8591,1,,,
427,RACS_test4_1.05_1947-12A,1,1,8600,1,,,
428,RACS_test4_1.05_2012-12A,1,1,8600,1,,,
429,RACS_test4_1.05_2037-12A,1,1,8600,1,,,
43,RACS_test4_1.05_2130-68A,1,1,8680,1,,,
430,RACS_test4_1.05_2103-12A,1,1,8600,1,,,
431,RACS_test4_1.05_2128-12A,1,1,8600,1,,,
432,RACS_test4_1.05_2153-12A,1,1,8600,1,,,
433,RACS_test4_1.05_2218-12A,1,1,8600,1,,,
434,RACS_test4_1.05_2244-12A,1,1,8595,1,,,
435,RACS_test4_1.05_2309-12A,1,1,8600,1,,,
436,RACS_test4_1.05_2334-12A,1,1,8600,1,,,
437,RACS_test4_1.05_0000-12A,1,1,8587,1,,,
438,RACS_test4_1.05_0025-12A,1,1,8600,1,,,
439,RACS_test4_1.05_0050-12A,1,1,8600,1,,,
44,RACS_test4_1.05_2230-68A,1,1,8680,1,,,
440,RACS_test4_1.05_0115-12A,1,1,8641,1,,,
441,RACS_test4_1.05_0141-12A,1,1,8641,1,,,
442,RACS_test4_1.05_0206-12A,1,1,8641,1,,,
443,RACS_test4_1.05_0231-12A,1,1,8641,1,,,
444,RACS_test4_1.05_0256-12A,1,1,8641,1,,,
445,RACS_test4_1.05_0322-12A,1,1,8592,1,,,
446,RACS_test4_1.05_0347-12A,1,1,8641,1,,,
447,RACS_test4_1.05_0412-12A,1,1,8597,1,,,
448,RACS_test4_1.05_0437-12A,1,1,8597,1,,,
449,RACS_test4_1.05_0503-12A,1,1,8597,1,,,
45,RACS_test4_1.05_2330-68A,1,1,8680,1,,,
450,RACS_test4_1.05_0528-12A,1,1,8597,1,,,
451,RACS_test4_1.05_0553-12A,1,1,8592,1,,,
452,RACS_test4_1.05_0618-12A,1,1,8592,1,,,
453,RACS_test4_1.05_0644-12A,1,1,8598,1,,,
454,RACS_test4_1.05_0709-12A,1,1,8598,1,,,
455,RACS_test4_1.05_0734-12A,1,1,8597,1,,,
456,RACS_test4_1.05_0800-12A,1,1,8597,1,,,
457,RACS_test4_1.05_0825-12A,1,1,8598,1,,,
458,RACS_test4_1.05_0850-12A,1,1,8598,1,,,
459,RACS_test4_1.05_0915-12A,1,1,8598,1,,,
46,RACS_test4_1.05_0030-68A,1,1,8680,1,,,
460,RACS_test4_1.05_0941-12A,1,1,8597,1,,,
461,RACS_test4_1.05_1006-12A,1,1,8598,1,,,
462,RACS_test4_1.05_1031-12A,1,1,8597,1,,,
463,RACS_test4_1.05_1056-12A,1,1,8597,1,,,
464,RACS_test4_1.05_1122-12A,1,1,8597,1,,,
465,RACS_test4_1.05_1147-12A,1,1,8597,1,,,
466,RACS_test4_1.05_1212-06A,1,1,8597,1,,,
467,RACS_test4_1.05_1237-06A,1,1,8597,1,,,
468,RACS_test4_1.05_1302-06A,1,1,8589,1,,,
469,RACS_test4_1.05_1326-06A,1,1,8593,1,,,
47,RACS_test4_1.05_0130-68A,1,1,8680,1,,,
470,RACS_test4_1.05_1351-06A,1,1,8593,1,,,
471,RACS_test4_1.05_1416-06A,1,1,8593,1,,,
472,RACS_test4_1.05_1441-06A,1,1,8593,1,,,
473,RACS_test4_1.05_1506-06A,1,1,8593,1,,,
474,RACS_test4_1.05_1531-06A,1,1,8593,1,,,
475,RACS_test4_1.05_1555-06A,1,1,8589,1,,,
476,RACS_test4_1.05_1620-06A,1,1,8589,1,,,
477,RACS_test4_1.05_1645-06A,1,1,8589,1,,,
478,RACS_test4_1.05_1710-06A,1,1,8589,1,,,
479,RACS_test4_1.05_1735-06A,1,1,8589,1,,,
48,RACS_test4_1.05_0230-68A,1,1,8680,1,,,
480,RACS_test4_1.05_1800-06A,1,1,8589,1,,,
481,RACS_test4_1.05_1824-06A,1,1,8589,1,,,
482,RACS_test4_1.05_1849-06A,1,1,8589,1,,,
483,RACS_test4_1.05_1914-06A,1,1,8584,1,,,
484,RACS_test4_1.05_1939-06A,1,1,8595,1,,,
485,RACS_test4_1.05_2004-06A,1,1,8591,1,,,
486,RACS_test4_1.05_2028-06A,1,1,8591,1,,,
487,RACS_test4_1.05_2053-06A,1,1,8591,1,,,
488,RACS_test4_1.05_2118-06A,1,1,8591,1,,,
489,RACS_test4_1.05_2143-06A,1,1,8591,1,,,
49,RACS_test4_1.05_0330-68A,1,1,8678,1,,,
490,RACS_test4_1.05_2208-06A,1,1,8595,1,,,
491,RACS_test4_1.05_2233-06A,1,1,8591,1,,,
492,RACS_test4_1.05_2257-06A,1,1,8591,1,,,
493,RACS_test4_1.05_2322-06A,1,1,8591,1,,,
494,RACS_test4_1.05_2347-06A,1,1,8591,1,,,
495,RACS_test4_1.05_0012-06A,1,1,8591,1,,,
496,RACS_test4_1.05_0037-06A,1,1,8587,1,,,
497,RACS_test4_1.05_0102-06A,1,1,8587,1,,,
498,RACS_test4_1.05_0126-06A,1,1,8587,1,,,
499,RACS_test4_1.05_0151-06A,1,1,8587,1,,,
5,RACS_test4_1.05_1554-71A,1,1,9510,1,,,
50,RACS_test4_1.05_0430-68A,1,1,8678,1,,,
500,RACS_test4_1.05_0216-06A,1,1,8583,1,,,
501,RACS_test4_1.05_0241-06A,1,1,8587,1,,,
