cal_sbid,sbid,field
35105,35141,RACS_1018+18
35105,35142,RACS_1039+23
35105,35143,RACS_1102+23
35105,35144,RACS_1126+18
35105,35145,RACS_1148+18
35105,35146,RACS_1211+23
35105,35147,RACS_1241+41
35105,35148,RACS_1239+37
35105,35149,RACS_1305+37
35105,35150,RACS_1336+41
35105,35151,RACS_1357+37
35105,35152,RACS_1416+32
35105,35153,RACS_1424+37
35105,35154,RACS_1441+32
35105,35155,RACS_1514+46
35105,35156,RACS_1524+28
35105,35157,RACS_1537+23
35105,35158,RACS_1559+23
35105,35159,RACS_1620+32
35105,35160,RACS_1645+32
35105,35161,RACS_1700+28
35105,35162,RACS_1716+14
35105,35163,RACS_1738+14
35105,35164,RACS_1800+32
35105,35165,RACS_1824+32
35105,35166,RACS_1849+32
35105,35167,RACS_1900+28
35105,35168,RACS_1924+28
35105,35169,RACS_1939+32
35105,35170,RACS_2003+18
35105,35171,RACS_2026+18
35105,35172,RACS_2048+18
35105,35173,RACS_2057+23
35105,35174,RACS_2119+23
35105,35175,RACS_2143+32
35105,35176,RACS_2156+18
35105,35177,RACS_2218+18
35105,35178,RACS_2236+28
35105,35179,RACS_2257+32
35105,35180,RACS_2344+46
35105,35181,RACS_0014+46
35105,35182,RACS_0012+32
35105,35183,RACS_0026+37
35105,35184,RACS_0036+28
35105,35185,RACS_0100+28
35105,35186,RACS_0126+32
35105,35187,RACS_0148+28
35105,35188,RACS_0203+18
35105,35189,RACS_0217+23
35105,35190,RACS_0239+23
35105,35191,RACS_0302+23
35105,35193,RACS_0410+14
35105,35194,RACS_0432-14
35105,35195,RACS_0454-14
35105,35196,RACS_0516+14
35105,35197,RACS_0538+14
35105,35198,RACS_0611+18
35105,35199,RACS_0633+18
35105,35200,RACS_0648+09
35105,35201,RACS_0648+04
35105,35202,RACS_0709+04
35105,35203,RACS_0731+04
35105,35204,RACS_0752+09
35105,35205,RACS_0814+09
35105,35206,RACS_0835+09
35105,35207,RACS_0857+09
35105,35208,RACS_0916+14
35105,35209,RACS_0940+09
35105,35210,RACS_0956+18
35105,35211,RACS_1021+14
