INDEX,SRC,FIELD_NAME,SBID,SCAN,CAL_SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,POL_AXIS,SCAN_START,SCAN_LEN,SCAN_TINT,NBEAMS_I,MOSAIC_TIME,NPIXELS_V,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,MINIMUM,MAXIMUM,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,SELAVY_TIME,NUM_SELAVY,SELECT,DEFECT,ANOMALY,COMMENT,MinUV,FSCALE,FMETHOD
25,25,RACS_1833-73,69288,0,69228,OBSERVED,18 33 18.344,-73 38 12.38,278.326433333333,-73.6367722222222,320.936959932992,-24.6893236067187,37.006,5240871130.153342,915.7017598431396,915.7017600000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
26,26,RACS_1849-79,69289,0,69228,OBSERVED,18 49 10.328,-78 57 10.22,282.293033333333,-78.9528388888889,315.292352338903,-26.4776309788828,32.928,5240872115.528062,895.7951998989868,895.7952000000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
27,27,RACS_1933-84,69347,0,69345,OBSERVED,19 33 49.233,-84 07 01.029,293.4551375,-84.1169525,309.487560271041,-28.0574003348434,21.655,5240957401.866622,915.7017598431396,915.7017600000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
28,28,RACS_0000-87,-1,-1,-1,--NULL--,00 00 00,-87 39 42.58,0.0,-87.6618277777778,303.52911905261,-29.4065119437026,-45.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
29,29,RACS_0426-84,72232,0,72305,OBSERVED,04 26 10.766,-84 07 01.029,66.5448583333333,-84.1169525,297.431187751933,-30.5044799038369,-111.655,5249780096.532862,905.7484803479003,905.7484800000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
30,30,RACS_0510-79,71853,0,71833,OBSERVED,05 10 49.671,-78 57 10.22,77.7069625,-78.9528388888889,291.215770413489,-31.3334226043884,-122.928,5248751374.504318,905.748479394226,905.7484800000001,-1,5254985553.549853,123614331,15.199999999999992,8.899999999999991,17.25,-0.005314121954143047,1.5805186033248901,169.93629888219246,163.79508284465822,44.862052029761045,129.71977731578875,669.1660276601012,5255052473,4536,0,0,0,,100,1.0,
31,31,RACS_0526-73,71095,0,71072,OBSERVED,05 26 41.655,-73 38 12.38,81.6735625,-73.6367722222222,284.912184888725,-31.8790418801235,-127.006,5246684368.441727,905.748479394226,905.7484800000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
32,32,RACS_1934-72,68956,0,68942,OBSERVED,19 34 48.396,-72 19 38.12,293.70165,-72.3272555555556,322.87012367945,-29.0312503691587,22.301,5240185848.815998,915.7017598431396,915.7017600000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
33,33,RACS_2012-77,68957,0,68942,OBSERVED,20 12 40.391,-77 06 42.13,303.168295833333,-77.1117027777778,317.040632868409,-30.8902955604207,12.498,5240186834.190718,895.7951998989868,895.7952000000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
34,34,RACS_2129-81,69396,0,69391,OBSERVED,21 29 50.363,-81 08 49.22,322.459845833333,-81.1470055555556,311.017962859312,-32.5380396749563,-7.128,5241048918.073726,905.7484803479003,905.7484800000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
35,35,RACS_0000-83,-1,-1,-1,--NULL--,00 00 00,-82 59 26.35,0.0,-82.9906527777778,304.80815633744,-33.9492461459572,-45.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
36,36,RACS_0230-81,72794,0,72813,OBSERVED,02 30 09.636,-81 08 49.22,37.54015,-81.1470055555556,298.426911773792,-35.1002052972206,-82.872,5251154586.108286,915.7017607968139,915.7017600000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
37,37,RACS_0347-77,-1,-1,-1,--NULL--,03 47 19.608,-77 06 42.13,56.8317,-77.1117027777778,291.900194217598,-35.9699641065563,-102.498,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
38,38,RACS_0425-72,-1,-1,-1,--NULL--,04 25 11.603,-72 19 38.12,66.2983458333333,-72.3272555555556,285.263791247075,-36.5416106618852,-112.301,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
39,39,RACS_2044-72,69183,0,69170,OBSERVED,20 44 25.892,-72 04 25.51,311.107883333333,-72.0737527777778,322.091768609728,-34.2980494265901,5.299,5240702409.118078,905.7484803479003,905.7484800000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
40,40,RACS_2141-75,69445,0,69447,OBSERVED,21 41 17.715,-75 45 16.71,325.3238125,-75.7546416666667,315.92266457073,-36.144154683902,-9.482,5241136295.37523,905.7484803479003,905.7484800000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
41,41,RACS_2307-78,72564,0,72565,OBSERVED,23 07 54.223,-78 00 42.46,346.975929166667,-78.0117944444445,309.517857188191,-37.7599190255655,-31.696,5250447751.38547,905.7484803479003,905.7484800000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
42,42,RACS_0052-78,-1,-1,-1,--NULL--,00 52 05.776,-78 00 42.46,13.0240666666667,-78.0117944444445,302.887862553658,-39.1164016452495,-58.304,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
43,43,RACS_0218-75,73215,0,73238,OBSERVED,02 18 42.284,-75 45 16.71,34.6761833333333,-75.7546416666667,296.05663862593,-40.1867265642317,-80.518,5252360076.067199,905.748479394226,905.7484800000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
44,44,RACS_0315-72,72527,0,72519,OBSERVED,03 15 34.107,-72 04 25.51,48.8921125,-72.0737527777778,289.062263197903,-40.9477887690995,-95.299,5250380062.777726,915.7017598431396,915.7017600000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
45,45,RACS_2146-70,-1,-1,-1,--NULL--,21 46 19.508,-70 18 22.76,326.581283333333,-70.3063222222222,321.341256330675,-39.5389829412137,-9.976,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
46,46,RACS_2246-72,71883,0,71914,OBSERVED,22 46 38.411,-72 45 46.24,341.660045833333,-72.7628444444444,314.737242024269,-41.3829581608647,-25.859,5248809019.257215,905.7484803479003,905.7484800000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
47,47,RACS_0000-73,-1,-1,-1,--NULL--,00 00 00,-73 39 49.07,0.0,-73.6636305555556,307.839900779419,-42.9709865775439,-45.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
48,48,RACS_0113-72,-1,-1,-1,--NULL--,01 13 21.588,-72 45 46.24,18.33995,-72.7628444444444,300.666843928317,-44.2688676995353,-64.141,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
