INDEX,SRC,FIELD_NAME,SBID,SCAN,CAL_SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,POL_AXIS,SCAN_START,SCAN_LEN,SCAN_TINT,NBEAMS_I,MOSAIC_TIME,NPIXELS_V,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,MINIMUM,MAXIMUM,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,SELAVY_TIME,NUM_SELAVY,SELECT,DEFECT,ANOMALY,COMMENT,MinUV
10,10,RACS_0844-72,36467,0,36447,OBSERVED,08 44 25.892,-72 04 25.51,131.10788333333332,-72.07375277777777,286.39553879475267,-17.70985218339222,-174.701,5149842428.731774,905.7484803479003,905.7484800000001,36,5152333066.230999,169474355,11.199999999999996,7.400000000000016,12.91,-0.0030610677786171436,0.3817712366580963,179.11765379230565,178.83330357014785,29.54391220608232,125.21109075525057,1743.3256673494739,5152341176.0,2699,0,0,0,,100
11,11,RACS_1625-72,36605,0,36547,OBSERVED,16 25 11.603,-72 19 38.12,246.29834583333331,-72.32725555555555,317.6171979920829,-15.873942655580983,67.699,5150046121.27987,905.7484803479003,905.7484800000001,36,5152447483.368,168724471,9.799999999999992,6.500000000000016,10.09,-0.005074828397482634,0.5778881311416626,183.30268633639574,182.64486190285103,23.589574019742425,129.28943902673856,772.9571309241654,5152456300.0,2561,0,0,0,,100
12,12,RACS_1547-77,36548,0,36547,OBSERVED,15 47 19.608,-77 06 42.13,236.83169999999996,-77.11170277777777,312.27999759694603,-17.555600480858377,77.502,5149958812.103038,905.7484803479003,905.7484800000001,36,5152414374.301001,168825950,11.000000000000016,6.999999999999984,16.42,-0.018395856022834778,4.126747131347656,173.4098218121822,171.89344190882906,44.64624241359124,119.07825229608014,1928.2187121810518,5152424734.0,2752,0,0,0,,100
13,13,RACS_1430-81,37183,0,37184,OBSERVED,14 30 09.636,-81 08 49.22,217.54014999999995,-81.14700555555557,306.8298060205672,-19.03190898269673,97.128,5150813362.569598,915.7017598431396,905.7484800000001,36,5151614323.091,168612767,15.500000000000016,8.899999999999991,-16.84,-0.002903916174545884,0.4928489923477173,176.95670767657575,176.87246819401128,25.56280175047048,120.75342895191099,1219.669187926115,5151628490.0,2728,0,0,0,,100
14,14,RACS_1200-83,36477,0,36447,OBSERVED,12 00 00,-82 59 26.35,179.99999999999997,-82.99065277777778,301.272682252946,-20.285208292363553,135.0,5149855716.360575,915.7017598431396,915.7017600000001,36,5152338132.937,169597083,16.099999999999994,10.50000000000001,14.32,-0.0033021571580320597,0.8932976126670837,174.7325079983654,174.60933697599114,26.383431914941433,111.58679908430072,589.5049792912556,5152345030.0,2638,0,0,0,,100
15,15,RACS_0929-81,36435,0,36447,OBSERVED,09 29 50.363,-81 08 49.22,142.4598458333333,-81.14700555555557,295.6197829603799,-21.299520323345032,172.872,5149764016.791934,955.5148806851196,955.5148800000002,36,5152313536.604,169614547,15.100000000000021,8.899999999999991,31.07,-0.007826532237231731,1.9920474290847778,174.8745100333834,174.58927655403176,24.544147106060304,117.51583543329261,504.46539299853913,5152321441.0,2594,0,0,0,,100
16,16,RACS_0812-77,36431,0,36447,OBSERVED,08 12 40.391,-77 06 42.13,123.1682958333333,-77.11170277777777,289.8872364251977,-22.06117320145451,-167.502,5149759119.778174,895.7951998989868,895.7952000000001,36,5152312355.989,169358164,13.399999999999991,7.900000000000019,28.65,-0.009210208430886269,1.9364217519760132,234.10525933471408,233.96129170249517,32.00731402542762,164.71761416469883,960.1527073367425,5152320617.0,2295,0,0,0,,100
17,17,RACS_0734-72,36381,0,36349,OBSERVED,07 34 48.396,-72 19 38.12,113.70164999999997,-72.32725555555555,284.09560715359646,-22.559437714693797,-157.699,5149671744.799102,905.7484803479003,905.7484800000001,36,5152229283.6449995,169357364,9.899999999999999,6.599999999999988,17.16,-0.0031486882362514734,0.624367892742157,188.0691208779326,188.1960791818984,23.988083802650042,132.0747166231352,372.7018951574372,5152239143.0,2870,0,0,0,,100
18,18,RACS_1726-73,36610,0,36547,OBSERVED,17 26 41.655,-73 38 12.38,261.6735625,-73.63677222222223,319.19671770298646,-20.297859153028632,52.994,5150051994.046846,915.7017598431396,915.7017600000001,36,5152448604.257999,168931643,10.50000000000001,6.599999999999988,20.22,-0.0043470892123878,0.7033393979072571,181.17086652299048,180.88488439164314,23.705914385463853,127.13965210232406,532.3857504672877,5152457031.0,2525,0,0,0,,100
19,19,RACS_1710-79,36709,0,36716,OBSERVED,17 10 49.671,-78 57 10.22,257.7069625,-78.95283888888889,313.71584837211793,-22.027478553872022,57.072,5150218071.490942,905.7484803479003,905.7484800000001,36,5152496510.649,168014143,14.799999999999995,7.800000000000012,-23.29,-0.014140834100544453,0.8341377377510071,211.42696609666737,211.7206954026536,176.64900739968166,141.37003667448255,14818.637290824512,5152504471.0,2633,0,0,0,,100
