INDEX,SRC,FIELD_NAME,SBID,SCAN,CAL_SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,POL_AXIS,SCAN_START,SCAN_LEN,SCAN_TINT,NBEAMS_I,MOSAIC_TIME,NPIXELS_V,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,MINIMUM,MAXIMUM,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,SELAVY_TIME,NUM_SELAVY,SELECT,DEFECT,ANOMALY,COMMENT,MinUV,MED_VRMS_uJy,MIN_VRMS_uJy,MAX_VRMS_uJy,FSCALE,PLANET
0,0,RACS_0714+46,34678,0,34697,IMAGED,07 15 00,+46 30 01.477,108.75,46.5004102777778,171.077990811545,23.1807737060265,-45.0,5147084369.53536,905.748,905.748,36,5215978647.95515,196471483,28.5,6.50000000000002,-6.58,-0.013335326686502,2.01949095726013,233.800428544618,219.107129069517,229.48534361632,142.670444067184,2732.94454225352,5215981193,2594,1,0,0,,100,207.004384719767,106.624647742137,784.148462116718,1.0992485814205444,0
0,0,RACS_0709+41,34679,0,34697,IMAGED,07 09 13.846,+41 52 34.89,107.307691666667,41.8763583333333,175.522567855087,20.8410363668486,-45.0,5147085563.92896,905.748,905.748,36,5215940418.78446,196947849,22.5,6.40000000000001,-12.68,-0.017229115590453,2.17662286758423,219.59470518436,206.225548601579,230.721172122179,129.861017259693,5962.58513250556,5215942913,2692,1,0,0,,100,195.738015463576,114.780363219325,768.245488870889,1.1023655579055427,0
0,0,RACS_0744+46,34680,0,34697,IMAGED,07 45 00,+46 30 01.477,116.25,46.5004102777778,172.384164395117,28.2055851234461,-45.0,5147086758.32256,905.748,905.748,36,5215940651.78825,196567270,29.0,6.50000000000002,-8.85,-0.012079564854503,0.784772396087647,225.696866294912,212.879857956038,226.191796805626,137.124817313045,5887.53541758363,5215943662,2555,1,0,0,,100,204.173658858053,114.35598571552,857.277540490031,1.1051756924565515,0
0,0,RACS_0751+37,34681,0,34697,IMAGED,07 51 16.363,+37 14 45.37,117.818179166667,37.2459361111111,182.879550215246,27.3129804560152,-45.0,5147087952.71616,905.748,905.748,36,5215944737.44856,196903177,17.8,6.40000000000001,-12.64,-0.007190035656095,0.982204914093018,214.063231550914,202.176353902068,226.43038914128,133.347500687268,12355.0779711679,5215947318,2773,1,0,0,,100,192.47287127655,115.196715341881,735.795183572918,1.1076552615722177,0
0,0,RACS_0817+37,34682,0,34697,IMAGED,08 17 27.272,+37 14 45.37,124.363633333333,37.2459361111111,184.22531842378,32.3901494940374,-45.0,5147089147.10976,905.748,905.748,36,5215944863.08109,197093252,17.4,6.40000000000001,-11.18,-0.011232820339501,1.84660184383392,216.476338629019,202.176076101138,217.066133229875,137.145398014824,2212.92906040788,5215947513,2820,1,0,0,,100,192.720894119702,102.656202216167,736.06293881312,1.1097831945279866,0
0,0,RACS_0832+41,34683,0,34697,IMAGED,08 32 18.461,+41 52 34.89,128.076920833333,41.8763583333333,179.22115299048,35.9243093281261,-45.0,5147090341.50336,895.795,895.795,36,5215945189.92187,196983398,22.3,6.40000000000001,-11.88,-0.008752519264817,1.77271628379822,221.139260271552,207.064957431559,226.507770223765,135.187450208162,2792.59421403007,5215947627,2567,1,0,0,,100,201.045768335462,105.956802144647,763.077812734991,1.1115413057035923,0
0,0,RACS_0859+41,34684,0,34697,IMAGED,09 00 00,+41 52 34.89,135.0,41.8763583333333,179.675073796144,41.0655096994288,-45.0,5147091525.94368,905.748,905.748,36,5215978952.50986,196972618,21.9,6.40000000000001,-10.3,-0.038979988545179,3.34187698364258,238.800911306009,222.466636464984,227.407480660282,142.423365361784,2415.75433661798,5215981535,2583,1,0,0,,100,205.149728571996,126.217069919221,794.325489550829,1.112904680283716,0
0,0,RACS_0909+37,34685,0,34697,IMAGED,09 09 49.09,+37 14 45.37,137.454541666667,37.2459361111111,186.024060894185,42.7053905787668,-45.0,5147092720.33728,905.748,905.748,36,5215978738.01727,196979661,17.8,6.40000000000001,-12.86,-0.05127464234829,4.87037467956543,214.703890020711,202.33201639246,246.162891488576,134.072851657514,10135.6100728549,5215981302,2724,1,0,0,,100,190.169223060366,115.92626105994,777.350040152669,1.1138844636429437,0
0,0,RACS_0927+41,34686,0,34697,IMAGED,09 27 41.538,+41 52 34.89,141.923075,41.8763583333333,179.606436101597,46.2187045713925,-45.0,5147093914.73088,905.748,905.748,36,5215978745.92476,196662122,22.6,6.40000000000001,-12.83,-0.040994878858328,3.66986584663391,222.174551859885,208.689546969829,227.684618662407,137.003414360482,2778.23167805145,5215981582,2608,1,0,0,,100,199.273687030654,121.655670227483,783.483090344816,1.1144591070548813,0
0,0,RACS_0955+41,34687,0,34697,IMAGED,09 55 23.076,+41 52 34.89,148.84615,41.8763583333333,178.859525128673,51.3486627624184,-45.0,5147095109.12448,895.795,895.795,36,5215990152.6494,196883171,22.2,6.40000000000001,-10.86,-0.01578407175839,1.58377265930176,228.496248939463,215.777943831599,224.828134004848,142.03621459237,2219.46222009793,5215992699,2508,1,0,0,,100,206.375247216783,115.037713840138,817.845342680812,1.1146236337852204,0
